"INSTID","UKPRN","ProviderName","CountryCode","CategoryName","FE_Provider","Rescinded"
"0204","10007798","The University of Manchester","E","England - Approved (Fee Cap)","","0"
"0205","10007765","Heythrop College","E","","","1"
"0206","10006427","University for the Creative Arts","E","England - Approved (Fee Cap)","","0"
"0207","10003856","Leeds College of Music","E","","","1"
"0208","10007825","Guildhall School of Music and Drama","E","England - Approved (Fee Cap)","","0"
"0209","10003945","The Liverpool Institute for Performing Arts","E","England - Approved (Fee Cap)","","0"
"0210","10014001","University of Suffolk","E","England - Approved (Fee Cap)","","0"
"0211","10003854","Leeds Arts University","E","England - Approved (Fee Cap)","","0"
"0213","10000163","Health Sciences University","E","England - Approved (Fee Cap)","","0"
"0214","10031982","BPP University","E","England - Approved","","0"
"0215","10007937","GSM London","E","England - Approved","","1"
"0216","10003331","Regent's University London","E","England - Approved","","1"
"0217","10008289","The London Institute of Banking & Finance","E","England - Approved (Fee Cap)","","1"
"0218","10039956","The University of Law","E","England - Approved (Fee Cap)","","0"
"0219","10005470","Richmond, The American International University in London","E","England - Approved","","0"
"0220","10035638","Institute of Contemporary Music Performance","E","England - Approved (Fee Cap)","","0"
"0221","10023454","Moorlands College","E","England - Approved (Fee Cap)","","0"
"0223","10005415","Redcliffe College","E","","","1"
"0225","10020416","Missio Dei","E","England - Approved (Fee Cap)","","0"
"0227","10008362","London School of Science and Technology Limited","E","England - Approved","","0"
"0228","10003958","Liverpool School of Tropical Medicine","E","England - Approved (Fee Cap)","","0"
"0229","10004511","The National Film and Television School","E","England - Approved (Fee Cap)","","0"
"0230","10005127","Arts University Plymouth","E","England - Approved (Fee Cap)","","0"
"0231","10019746","ABI College Limited","E","Designation for Teach Out","","1"
"0232","10037544","BIMM University","E","England - Approved (Fee Cap)","","0"
"0233","10000939","West London College","E","","","1"
"0234","10018361","City of London College","E","England - Approved","","1"
"0235","10008229","EThames Graduate School Limited","E","England - Approved","","1"
"0236","10003239","ICON College of Technology and Management","E","England - Approved (Fee Cap)","","0"
"0237","10003566","Kensington College of Business","E","Designation for Teach Out","","1"
"0238","10004061","Bloomsbury Institute","E","England - Approved (Fee Cap)","","0"
"0239","10004450","Mountview Academy of Theatre Arts","E","England - Approved","","0"
"0240","10004538","Nazarene Theological College","E","England - Approved (Fee Cap)","","0"
"0241","10022944","Stratford College London (SCL)","E","England - Approved","","0"
"0242","10032299","Tech Music Schools","E","","","1"
"0243","10015506","The London College","E","England - Approved","","0"
"0244","10000381","Arts Educational Schools","E","England - Approved","","0"
"0245","10002735","Grafton College","E","England - Approved","","1"
"0246","10023777","Mont Rose College of Management and Sciences Limited","E","England - Approved (Fee Cap)","","0"
"0247","10008397","Norland College","E","England - Approved","","0"
"0248","10038763","ForMission Ltd","E","Designation for Teach Out","","1"
"0249","10022021","UK College of Business and Computing","E","Limited Designation","","1"
"0250","10030391","London Churchill College Ltd","E","England - Approved","","0"
"0251","10013357","The Academy of Contemporary Music","E","England - Approved (Fee Cap)","","1"
"0252","10022047","Empire College London Limited","E","England - Approved","","0"
"0253","10002113","East End Computing and Business College Limited","E","England - Approved","","1"
"0254","10033187","Fairfield School of Business Ltd","E","England - Approved","","0"
"0255","10019368","London College of Business Studies","E","England - Approved","","0"
"0256","10022285","London School of Management Education","E","England - Approved (Fee Cap)","","0"
"0257","10004075","London School of Theology","E","England - Approved (Fee Cap)","","0"
"0258","10030776","St Mellitus College","E","England - Approved (Fee Cap)","","0"
"0260","10030129","Nelson College London Ltd","E","England - Approved (Fee Cap)","","0"
"0261","10004740","Northern College of Acupuncture","E","England - Approved","","0"
"0262","10042570","Escape Studios","E","England - Approved (Fee Cap)","","0"
"0263","10005544","Royal Academy of Dance","E","England - Approved","","0"
"0264","10008457","Regents Theological College","E","","","1"
"0265","10007839","SAE Education Limited","E","England - Approved (Fee Cap)","","0"
"0266","10005916","Slough Borough Council","E","Designation for Teach Out","","1"
"0267","10037822","Tottenham Hotspur Foundation","E","Designation for Teach Out","","1"
"0268","10000080","Access to Music Limited","E","Designation for Teach Out","","1"
"0269","10000248","Academy of Live and Recorded Arts","E","England - Approved","","1"
"0270","10001546","The College of Integrated Chinese Medicine","E","England - Approved","","0"
"0271","10010213","The City College","E","England - Approved","","0"
"0272","10045476","Met Film School Limited","E","England - Approved","","0"
"0273","10042194","Holborn College Limited","E","","","1"
"0274","10004079","London Studio Centre","E","England - Approved","","0"
