id,ukprn,university,year,source_url,download_timestamp,pdf_path,txt_path,json_path
6963,10006566,The University of West London,2023,,,,extracted_text/The_University_of_West_London_UoW-Slavery-and-Human-Trafficking-Statement-Nov-2022.txt,extracted_text/The_University_of_West_London_UoW-Slavery-and-Human-Trafficking-Statement-Nov-2022.json
6964,10003645,King's College London,2025,,,,extracted_text/Kings_College_London_expenses-february-2024-july-2024.txt,extracted_text/Kings_College_London_expenses-february-2024-july-2024.json
6965,10004930,Oxford Brookes University,2017,,,,extracted_text/Oxford_Brookes_University_EDI-Report-2016-17.txt,extracted_text/Oxford_Brookes_University_EDI-Report-2016-17.json
6966,10007786,The University of Bristol,2018,,,,extracted_text/University_of_Bristol_annual-report-financial-statements-2017.txt,extracted_text/University_of_Bristol_annual-report-financial-statements-2017.json
6967,10007784,University College London,2015,,,,extracted_text/University_College_London_2017_Financial_Statements_2014_15.txt,extracted_text/University_College_London_2017_Financial_Statements_2014_15.json
6968,10003645,King's College London,2023,,,,extracted_text/Kings_College_London_expenses-aug-2022-jan-2023.txt,extracted_text/Kings_College_London_expenses-aug-2022-jan-2023.json
6969,10008397,Norland College,2022,,,,extracted_text/Norland_College_NORLAND-ANNUAL-REPORT-2021-22.txt,extracted_text/Norland_College_NORLAND-ANNUAL-REPORT-2021-22.json
6970,10007786,The University of Bristol,2017,,,,extracted_text/University_of_Keele_UniversityandGroup_Accounts_31July 2016.txt,extracted_text/University_of_Keele_UniversityandGroup_Accounts_31July 2016.json
6971,10007786,The University of Bristol,2024,,,,"extracted_text/University_of_Liverpool_Review,of,the,Year,2023.txt","extracted_text/University_of_Liverpool_Review,of,the,Year,2023.json"
6972,10007786,The University of Bristol,2019,,,,extracted_text/University_of_St_Andrews_List-of-investments-at-31-July-2018.txt,
6973,10005561,Royal Conservatoire of Scotland,2017,,,,extracted_text/Royal_Conservatoire_of_Scotland_2016-17-Signed-Accounts.txt,extracted_text/Royal_Conservatoire_of_Scotland_2016-17-Signed-Accounts.json
6974,10007835,Royal Academy of Music,2019,,,,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2018.txt,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2018.json
6975,10007786,The University of Bristol,2026,,,,extracted_text/University_of_St_Andrews_Investment list as at 31 July 2025.txt,
6976,10007835,Royal Academy of Music,2025,,,,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2024.txt,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2024.json
6977,10006840,The University of Birmingham,2016,,,,extracted_text/University_of_Birmingham_uob-annual-accounts-2015-2016.txt,extracted_text/University_of_Birmingham_uob-annual-accounts-2015-2016.json
6978,10007823,Edge Hill University,2024,,,,extracted_text/Edge_Hill_University_2023-Financial-Statements-Edge-Hill-University-KPMG-Signed.txt,extracted_text/Edge_Hill_University_2023-Financial-Statements-Edge-Hill-University-KPMG-Signed.json
6979,10006566,The University of West London,2016,,,,extracted_text/The_University_of_West_London_staff-equality-diversity-and-inclusion-annual-report-2015-16.txt,extracted_text/The_University_of_West_London_staff-equality-diversity-and-inclusion-annual-report-2015-16.json
6980,10003270,"Imperial College of Science, Technology and Medicine",2024,,,,extracted_text/Imperial_College_London_Annual-Report-2023-24-web.txt,extracted_text/Imperial_College_London_Annual-Report-2023-24-web.json
6981,10007792,The University of Exeter,2017,,,,extracted_text/University_of_Exeter_Financial_Statements_2016-17.txt,extracted_text/University_of_Exeter_Financial_Statements_2016-17.json
6982,10005500,Robert Gordon University,2023,,,,extracted_text/Robert_Gordon_University_RGU-Annual-Report---Financial-Statements---Year-Ending-31-July-2022.txt,extracted_text/Robert_Gordon_University_RGU-Annual-Report---Financial-Statements---Year-Ending-31-July-2022.json
6983,10006842,The University of Liverpool,2025,,,,extracted_text/University_of_Liverpool_2024_trustee-report-accounts-2024.txt,extracted_text/University_of_Liverpool_2024_trustee-report-accounts-2024.json
6984,10007786,The University of Bristol,2015,,,,extracted_text/University_of_St_Andrews_X1-14 - 2014-15 Group Fin Statement final.txt,
6985,10007786,The University of Bristol,2020,,,,extracted_text/Norwich_University_of_the_Arts_Report-and-Consolidated-Financial-Statements-2019-20.txt,extracted_text/Norwich_University_of_the_Arts_Report-and-Consolidated-Financial-Statements-2019-20.json
6986,10007151,The University of Lincoln,2020,,,,extracted_text/University_of_Lincoln_UL-Financial-Statement-2019-20-signed-by-BDO.txt,
6987,10007786,The University of Bristol,2017,,,,extracted_text/University_of_Cambridge_uc_annual_report_2016_1.txt,extracted_text/University_of_Cambridge_uc_annual_report_2016_1.json
6988,10007761,Courtauld Institute of Art,2012,,,,extracted_text/Courtauld_Institute_of_Art_2011-12-Financial-Statements1.txt,extracted_text/Courtauld_Institute_of_Art_2011-12-Financial-Statements1.json
6989,10004930,Oxford Brookes University,2023,,,,extracted_text/Oxford_Brookes_University_EDI-Annual-Report-2022-23.txt,extracted_text/Oxford_Brookes_University_EDI-Annual-Report-2022-23.json
6990,10007792,The University of Exeter,2020,,,,extracted_text/University_of_Exeter_annualreport2019-2020.txt,extracted_text/University_of_Exeter_annualreport2019-2020.json
6991,10006566,The University of West London,2023,,,,extracted_text/The_University_of_West_London_Gender-Pay-Gap-Report-March-2022.txt,extracted_text/The_University_of_West_London_Gender-Pay-Gap-Report-March-2022.json
6992,10000961,Brunel University London,2010,,,,extracted_text/Brunel_University_London_financial-year-2009.txt,extracted_text/Brunel_University_London_financial-year-2009.json
6993,10014001,University of Suffolk,2013,,2025-11-22T23:04:41,downloads/pdfs/University_of_Suffolk_Financial-Statement-for-year-ended-31st-July-2012_1.pdf,,
6994,10004930,Oxford Brookes University,2022,,,,extracted_text/Oxford_Brookes_University_obu-financial-statements-2021-22.txt,extracted_text/Oxford_Brookes_University_obu-financial-statements-2021-22.json
6995,10007786,The University of Bristol,2012,,,,extracted_text/University_of_the_Highlands_and_Islands_uhi-accounts-2011-12.txt,
6996,10007786,The University of Bristol,2009,,,,extracted_text/University_of_St_Andrews_2008_09 Group Accounts final.txt,
6997,10004112,Loughborough College,2021,,,,extracted_text/Loughborough_University_Financial-Statements-2020-21.txt,extracted_text/Loughborough_University_Financial-Statements-2020-21.json
6998,10006840,The University of Birmingham,2001,,,,extracted_text/University_of_Birmingham_accounts2001.txt,extracted_text/University_of_Birmingham_accounts2001.json
6999,10000961,Brunel University London,2020,,,,extracted_text/Brunel_University_London_Financial-Statements-2019-20.txt,extracted_text/Brunel_University_London_Financial-Statements-2019-20.json
7000,10007855,Swansea University,2021,,,,extracted_text/Swansea_University_EPSRC-CDT-2020-Annual-Report-final-(1).txt,extracted_text/Swansea_University_EPSRC-CDT-2020-Annual-Report-final-(1).json
7001,10014001,University of Suffolk,2008,,,,extracted_text/University_of_Suffolk_Financial-Statement-for-year-ended-31st-July-2007.txt,
7002,10014001,University of Suffolk,2014,,,,extracted_text/University_of_Suffolk_Financial-Statement-for-year-ended-31st-July-2013.txt,
7003,10000961,Brunel University London,2009,,,,extracted_text/Brunel_University_London_financial-year-2008.txt,extracted_text/Brunel_University_London_financial-year-2008.json
7004,10007786,The University of Bristol,2013,,,,extracted_text/University_of_St_Andrews_Investment_as_at_31_July_2012.txt,
7005,10007786,The University of Bristol,2024,,,,extracted_text/University_of_Bristol_UoB AR FS 2023 WEB2.txt,extracted_text/University_of_Bristol_UoB AR FS 2023 WEB2.json
7006,10007759,Aston University,2013,,,,extracted_text/Aston_University_Annual%20Statement%20of%20Accounts%202012-2013_0_0.txt,extracted_text/Aston_University_Annual%20Statement%20of%20Accounts%202012-2013_0_0.json
7007,10006566,The University of West London,2016,,,,extracted_text/The_University_of_West_London_equal-pay-report-2015-16.txt,extracted_text/The_University_of_West_London_equal-pay-report-2015-16.json
7008,10007804,The University of Stirling,2017,,,,extracted_text/University_of_Stirling_financial-statements-2016-2017.txt,
7009,10006566,The University of West London,2013,,,,extracted_text/The_University_of_West_London_financial-statements-2012.txt,extracted_text/The_University_of_West_London_financial-statements-2012.json
7010,10007786,The University of Bristol,2018,,,,extracted_text/Norwich_University_of_the_Arts_Report-and-Consolidated-Financial-Statements-2017-18.txt,extracted_text/Norwich_University_of_the_Arts_Report-and-Consolidated-Financial-Statements-2017-18.json
7011,10005561,Royal Conservatoire of Scotland,2013,,,,extracted_text/Royal_Conservatoire_of_Scotland_2012-13-signed-accounts.txt,extracted_text/Royal_Conservatoire_of_Scotland_2012-13-signed-accounts.json
7012,10007785,The University of Bradford,2021,,,,"extracted_text/University_of_Bradford_Financial-Statement-2020-21-(PDF,-7.0MB).txt","extracted_text/University_of_Bradford_Financial-Statement-2020-21-(PDF,-7.0MB).json"
7013,10004112,Loughborough College,2019,,,,extracted_text/Loughborough_University_Financial-statements-2018-19.txt,extracted_text/Loughborough_University_Financial-statements-2018-19.json
7014,10005500,Robert Gordon University,2024,,,,extracted_text/Robert_Gordon_University_RGU-Annual-Report---Financial-Statements---Year-Ending-31-July-2023.txt,extracted_text/Robert_Gordon_University_RGU-Annual-Report---Financial-Statements---Year-Ending-31-July-2023.json
7015,10007780,SOAS University of London,2013,,,,extracted_text/SOAS_University_of_London_Annual-report-2012-13_0.txt,extracted_text/SOAS_University_of_London_Annual-report-2012-13_0.json
7016,10007160,The University of Surrey,2012,,,,extracted_text/University_of_Surrey_financial-statement-2011-2012pdf.txt,
7017,10007835,Royal Academy of Music,2020,,,,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2019.txt,extracted_text/Royal_Academy_of_Music_Royal-Academy-of-Music-Financial-Statements-Year-Ended-31-July-2019.json
