University,Country,Domain,Year,URL
Scotland’s Rural College,Scotland,www.borderscollege.ac.uk,2025,https://www.borderscollege.ac.uk/sites/default/files/2025-04/Financial+Statements+(Year+ended+31st+July+2024).pdf
Scotland’s Rural College,Scotland,www.borderscollege.ac.uk,2023,https://www.borderscollege.ac.uk/sites/default/files/2023-03/Borders+College+Annual+Report+&+Accounts22+.pdf
University of St Andrews,Scotland,www.st-andrews.ac.uk,N/A,https://www.st-andrews.ac.uk/media/finance/documents/financial-statements/finance_annual_accounts_07_08.pdf
University of St Andrews,Scotland,www.st-andrews.ac.uk,N/A,https://www.st-andrews.ac.uk/media/finance/documents/financial-statements/FOI-709.pdf
University of Stirling,Scotland,www.stir.ac.uk,N/A,https://www.stir.ac.uk/about/professional-services/finance-office/financial-statements/
University of Strathclyde,Scotland,www.strath.ac.uk,2014,https://www.strath.ac.uk/media/ps/finance/annualaccounts/REPORT_and_FINANCIAL_STATEMENTS_2014.pdf
University of the West of Scotland,Scotland,www.stir.ac.uk,2022,https://www.stir.ac.uk/media/stirling/services/finance/documents/FinancialStatements_2021-2022_accessible.pdf
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKI103/financial-accountant
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DJS349/financial-accountant
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKE480/financial-accounting-manager
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DBK908/financial-accountant
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKQ660/group-financial-accountant
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DIT711/interim-senior-financial-accounting-manager
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DGT752/financial-accounting-assistant
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKY579/financial-accountant
Cardiff Metropolitan University,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DLL249/head-of-management-accounts
Swansea University,Wales,www.swansea.ac.uk,2023,https://www.swansea.ac.uk/media/Annual-Review-2023.pdf
Swansea University,Wales,www.swansea.ac.uk,2014,https://www.swansea.ac.uk/media/Operating-and-Financial-Review-and-Financial-Statements-2014-15.pdf
Swansea University,Wales,www.swansea.ac.uk,N/A,https://www.swansea.ac.uk/welsh-language-standards/compliance/previous-annual-reports/
Swansea University,Wales,www.swansea.ac.uk,N/A,https://www.swansea.ac.uk/computational-foundry/epsrc-centre-for-doctoral-training/annual-report/
University of South Wales,Wales,admin.abertay.ac.uk,2024,https://admin.abertay.ac.uk/media/epqgixpa/rkec052432-annual-report-for-the-concordat-to-support-the-career-development-of-researchers-2024.pdf
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKI103/financial-accountant
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DJS349/financial-accountant
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKE480/financial-accounting-manager
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DBK908/financial-accountant
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKQ660/group-financial-accountant
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DIT711/interim-senior-financial-accounting-manager
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DGT752/financial-accounting-assistant
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKY579/financial-accountant
University of Wales Trinity Saint David,Wales,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DLL249/head-of-management-accounts
Wrexham University,Wales,www.bangor.ac.uk,2023,https://www.bangor.ac.uk/sites/default/files/2023-01/Annual+Report+and+Financial+Statement+-+web.pdf
Wrexham University,Wales,www.bangor.ac.uk,N/A,https://www.bangor.ac.uk/finance-services/general-information/accounts
Wrexham University,Wales,www.bangor.ac.uk,N/A,https://www.bangor.ac.uk/annual-report
Queen’s University Belfast,Northern Ireland,pure.qub.ac.uk,2023,https://pure.qub.ac.uk/en/publications/ecfs-clinical-trials-network-annual-report-2023
Queen’s University Belfast,Northern Ireland,pure.qub.ac.uk,N/A,https://pure.qub.ac.uk/en/publications/international-financial-accounting-and-reporting-4
Queen’s University Belfast,Northern Ireland,pure.qub.ac.uk,N/A,https://pure.qub.ac.uk/en/publications/annual-reporting-in-voluntary-organisations-opportunities-for-con
Queen’s University Belfast,Northern Ireland,pure.qub.ac.uk,N/A,https://pure.qub.ac.uk/en/publications/impression-management-in-annual-report-narratives-the-case-of-the
Queen’s University Belfast,Northern Ireland,pure.qub.ac.uk,N/A,https://pure.qub.ac.uk/en/publications/international-financial-accounting-and-reporting-addendum
Queen’s University Belfast,Northern Ireland,pure.qub.ac.uk,N/A,https://pure.qub.ac.uk/en/publications/international-financial-accounting-and-reporting
St Mary’s University College,Northern Ireland,www.jobs.ac.uk,N/A,https://www.jobs.ac.uk/job/DKI103/financial-accountant
